"b'RT @LindaSuhler: You at least got one word right \xe2\x80\x94 it\xe2\x80\x99s \xe2\x80\x9cre-elect Trump in 2020.\xe2\x80\x9d \n\nAnd you\xe2\x80\x99re a has been who is more of a never was, a bit\xe2\x80\xa6'",-1
"b'RT @PatriotLexi: James Kallstrom, Former FBI Assistant Director on Mueller investigation: ""We got these frivolous, idiotic questions they w\xe2\x80\xa6'",-1
b'RT @SnarkyRants45: Traitor card: #America4Sale #IranDeal #Hezbollah #FakePresident \nCure: #GITMO #EndIranNuclearDeal #MAGA #QAnon #BuildThe\xe2\x80\xa6',-1
"b""RT @Trey_VonDinkis: #MAGA #MuellerWitchHunt #FakeNews #LeftistPropaganda\n\n.\n.\n.\xf0\x9f\x94\xbbMUELLER WITCH HUNT - JUDGE MULLS TOSSING MUELLER'S CASE:\n\nJ\xe2\x80\xa6""",-1
"b'RT @nedryun: Remember all that great outcry about Obama breaking the law, about doing something illegal, about violating the FEC guidelines\xe2\x80\xa6'",-1
"b""RT @LVNancy: Remember #Mueller indicted 13 #Russians #Collusion\nTheir attorney's showed up to court, unexpectedly. Mueller team requested a\xe2\x80\xa6""",-1
"b""RT @heytootssweet: @CovfefeLadyC @Success87473781 @realDonaldTrump Libs ain't even American anymore &amp; Ucan't #TRUMP THAT!  #MAGA Video \nhtt\xe2\x80\xa6""",-1
"b""RT @mikandynothem: In a sad display void of God's love, John McCain banned Mr. Trump from his funeral. \nFor the record, my worst enemy is w\xe2\x80\xa6""",-1
b'RT @dailyjobcuts: \xf0\x9f\xa4\x94California Bill Would Allow Illegals To Serve On Government Boards\n  \n Latest  News - https://t.co/tBG5SYCW32  \xf0\x9f\x91\x8d\n\n #CA #\xe2\x80\xa6',-1
"b'I feel so bad for her, lmao #MAGA https://t.co/RiDO2XuFI1'",-1
"b'RT @intheMatrixxx: Alison Mack Update. \nTrafficking of Children by Force or Coercion.\nTrafficking of Children by Force, Fraud,  or Coercion\xe2\x80\xa6'",-1
"b'RT @PatriotLexi: James Kallstrom, Former FBI Assistant Director on Mueller investigation: ""We got these frivolous, idiotic questions they w\xe2\x80\xa6'",-1
"b'RT @thecjpearson: Why would any black person support the Democrat Party  - the party that  enslaved us, segregated us, and treated us as if\xe2\x80\xa6'",-1
"b""RT @TheRealHublife: You can't vote for @realDonaldTrump and watch him beat the deep state machine in the most important election in the his\xe2\x80\xa6""",-1
"b'RT @intheMatrixxx: Alison Mack Update. \nSex Trafficking of Children by Force or Coercion.\nSex Trafficking of Children by Force, Fraud,  or\xe2\x80\xa6'",-1
b'RT @CoreyLMJones: John McCain is a very arrogant and bitter man.\n\nMcCain has spent many years of his life supporting democrats and betrayin\xe2\x80\xa6',-1
b'RT @mh451: Please read this CBC piece \n\n#FBR #FollowBackResistance #Resist #Resistance #MAGA  https://t.co/7huzBlAJ37',-1
