"b'RT @bocavista2016: ARREST ROSIE NOW\n\n#DineshDSouza was sentenced to 8 months, 5 yrs probation, $30K fine for violating campaign finance law\xe2\x80\xa6'",-1
b'RT @OliverMcGee: May is National Military Appreciation Month!\n\nRetweet our Pride 4 our Veterans &amp; our Commander-in-Chief @POTUS @realDonald\xe2\x80\xa6',1
"b'RT @PatriotLexi: James Kallstrom, Former FBI Assistant Director on Mueller investigation: ""We got these frivolous, idiotic questions they w\xe2\x80\xa6'",-1
b'RT @TestyTarheel: Hey #TrumpTrain! \n\n\xf0\x9f\x94\xb4Pick a local pro-Trump candidate  \n\n\xe2\x9a\xaa\xef\xb8\x8fVolunteer to put up yard signs \n\n\xf0\x9f\x94\xb5work the polls on Election Da\xe2\x80\xa6',1
"b'RT @GenFlynn: We are going to win and win and win at everything we do. It is going to be tough, but Team Trump-Pence will #MAGA \xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x8d\x80\xf0\x9f\x8f\x84'",1
"b'RT @John_KissMyBot: A Special Congratulations To My Very Good Friend Sara @skb_sara For Reaching 55,000 Followers.  Sara is one of the nice\xe2\x80\xa6'",1
b'@realDonaldTrump whaaaaaaazzzz up Donald?! Big fan! Keep up the good work! #usa #maga #potus',1
"b'RT @1Romans58: Trump is #WINNING so much that this polling company is hiding it\'s own polls.  LMAO  \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\n\nThey are putting the data in ""qua\xe2\x80\xa6'",1
b'RT @SnarkyRants45: Traitor card: #America4Sale #IranDeal #Hezbollah #FakePresident \nCure: #GITMO #EndIranNuclearDeal #MAGA #QAnon #BuildThe\xe2\x80\xa6',-1
b'RT @AngelaLily0501: No coincidences. #QAnon #MAGA #Mueller #MuellerSham #JohnKerry #ThisIsAmerica #STLCards #moleg https://t.co/q3rIjdBVcm',0
"b""RT @Trey_VonDinkis: #MAGA #MuellerWitchHunt #FakeNews #LeftistPropaganda\n\n.\n.\n.\xf0\x9f\x94\xbbMUELLER WITCH HUNT - JUDGE MULLS TOSSING MUELLER'S CASE:\n\nJ\xe2\x80\xa6""",-1
"b'RT @PatriotLexi: James Kallstrom, Former FBI Assistant Director on Mueller investigation: ""We got these frivolous, idiotic questions they w\xe2\x80\xa6'",-1
"b'RT @nedryun: Remember all that great outcry about Obama breaking the law, about doing something illegal, about violating the FEC guidelines\xe2\x80\xa6'",-1
